Dates,Daily
3/2/20,1
3/3/20,0
3/4/20,0
3/5/20,1
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,1
3/11/20,2
3/12/20,1
3/13/20,1
3/14/20,10
3/15/20,11
3/16/20,1
3/17/20,9
3/18/20,11
3/19/20,14
3/20/20,14
3/21/20,19
3/22/20,19
3/23/20,28
3/24/20,27
3/25/20,55
3/26/20,50
3/27/20,70
3/28/20,57
3/29/20,77
3/30/20,77
3/31/20,61
4/1/20,37
4/2/20,54
4/3/20,83
4/4/20,128
4/5/20,102
4/6/20,99
4/7/20,64
4/8/20,91
4/9/20,99
4/10/20,74
4/11/20,97
4/12/20,116
4/13/20,102
4/14/20,125
4/15/20,136
4/16/20,259
4/17/20,281
4/18/20,121
4/19/20,170
4/20/20,191
4/21/20,163
4/22/20,237
4/23/20,122
4/24/20,190
4/25/20,139
4/26/20,168
4/27/20,55
4/28/20,132
4/29/20,69
4/30/20,102
5/1/20,146
5/2/20,160
5/3/20,174
5/4/20,150
5/5/20,166
5/6/20,189
5/7/20,140
