Dates,Daily
02/03/2020,1
03/03/2020,0
04/03/2020,0
05/03/2020,1
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,4
13/03/2020,2
14/03/2020,10
15/03/2020,11
16/03/2020,9
17/03/2020,6
18/03/2020,10
19/03/2020,9
20/03/2020,16
21/03/2020,17
22/03/2020,19
23/03/2020,28
24/03/2020,27
25/03/2020,55
26/03/2020,50
27/03/2020,70
28/03/2020,57
29/03/2020,77
30/03/2020,77
31/03/2020,61
01/04/2020,37
02/04/2020,54
03/04/2020,83
04/04/2020,128
05/04/2020,102
06/04/2020,99
07/04/2020,64
08/04/2020,91
09/04/2020,99
10/04/2020,74
11/04/2020,97
12/04/2020,116
13/04/2020,102
14/04/2020,125
15/04/2020,136
16/04/2020,259
17/04/2020,281
18/04/2020,121
19/04/2020,170
20/04/2020,191
21/04/2020,163
22/04/2020,237
23/04/2020,122
24/04/2020,190
25/04/2020,139
26/04/2020,168
27/04/2020,55
28/04/2020,132
29/04/2020,37
30/04/2020,134
01/05/2020,146
02/05/2020,160
